epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.2821000000190735;4.212517574005127;0.816700000038147;0.262;3.4152720581054687;0.8139
1;0.432239999961853;2.7295198526000974;0.9091;0.2519;2.7078144702911375;0.8134
2;0.559300000038147;1.8456307829666139;0.94698;0.2453;2.727617472076416;0.7461
3;0.64428;1.4348893914031982;0.9663199999809265;0.4644;1.846996319580078;0.923
4;0.6984600000190735;1.216147596359253;0.9775000000190734;0.4868;1.9291454441070557;0.946
5;0.7389999999809265;1.0977359972381593;0.9816800000190735;0.4971;2.0037283401489256;0.9363
6;0.7642000000190735;1.021773015499115;0.9855200000190735;0.6006;1.5210158655166626;0.9638
7;0.7849000000190735;0.9745411023712158;0.9881200000381469;0.6564;1.350721027946472;0.9702
8;0.7978799999809265;0.9453649514770508;0.9883399999809265;0.593;1.6980853576660155;0.9572
9;0.8055200000381469;0.9325952085113526;0.98998;0.7552;1.0905863876342774;0.9836
10;0.812779999961853;0.9219845827102661;0.9902200000190735;0.7631;1.0809081773757934;0.9815
11;0.8204199999809265;0.9104368469810485;0.99196;0.6082;1.5466251062393188;0.9361
12;0.828000000038147;0.8941915877532959;0.991940000038147;0.6844;1.3698406867980957;0.9646
13;0.830660000038147;0.890003040599823;0.99248;0.7855;1.0308803197860719;0.9874
14;0.8340400000190735;0.8941297358894348;0.9923;0.6487;1.5021096027374268;0.9522
15;0.83656;0.8904043625259399;0.992740000038147;0.6333;1.548517085838318;0.9619
16;0.841940000038147;0.8893082403945923;0.9927400000190735;0.7102;1.260184639930725;0.9765
17;0.84528;0.8814525945854187;0.99318;0.7636;1.1079335823059082;0.9875
18;0.84596;0.8881595406341553;0.992959999961853;0.7071;1.3204737327575684;0.9744
19;0.8482199999809266;0.8863944981002808;0.9934200000190735;0.7698;1.1134078680038453;0.9876
20;0.8537000000381469;0.8748449357223511;0.99468;0.789;1.0668229705810548;0.9886
21;0.8539000000190735;0.8751179508972168;0.9942200000190735;0.7337;1.2260677494049073;0.9844
22;0.854700000038147;0.875265952911377;0.9943;0.6716;1.5681760585784912;0.9551
23;0.858500000038147;0.8739924438285828;0.9942000000190735;0.5419;2.0662829528808593;0.8563
24;0.85804;0.8776850569725037;0.9947;0.6692;1.6827098793029784;0.9345
25;0.8605799999618531;0.8731095993041992;0.9945600000190735;0.5464;1.9659675495147706;0.9214
26;0.86094;0.8818903485107422;0.99484;0.7262;1.308717802810669;0.9694
27;0.8626999999809265;0.8803098521232605;0.99484;0.7532;1.2244871641159059;0.9857
28;0.8622800000190735;0.8893041748619079;0.993940000038147;0.6836;1.4855533920288087;0.9792
29;0.8650000000190735;0.8837482359504699;0.9944;0.7649;1.2055636417388915;0.9863
30;0.865059999961853;0.8855095288848877;0.9947200000190735;0.7531;1.2648569919586181;0.9803
31;0.8666800000381469;0.8890290348052978;0.99474;0.6508;1.522136269760132;0.9696
32;0.86686;0.889413945274353;0.99554;0.7487;1.265366070175171;0.976
33;0.867800000038147;0.895402202129364;0.99474;0.7105;1.3727496395111083;0.9735
34;0.8694600000381469;0.8897505655670166;0.9953400000381469;0.6672;1.5330524618148804;0.9593
35;0.8701199999618531;0.8883228911590576;0.99464;0.653;1.520543900680542;0.9544
36;0.870360000038147;0.8906446458244324;0.9952;0.4535;2.4389147331237795;0.8914
37;0.8697799999809265;0.8978414105987549;0.9949800000190735;0.8063;1.0806567790985107;0.9901
38;0.86994;0.9034406081962586;0.99524;0.6894;1.517932853126526;0.9738
39;0.8713800000190735;0.9028588206481933;0.9958800000190735;0.7667;1.2194634372711182;0.9813
40;0.871419999961853;0.9052902216148376;0.99514;0.7602;1.2286508182525635;0.9868
41;0.8727000000190734;0.8984913914108277;0.99528;0.7574;1.255425587272644;0.9862
42;0.87396;0.8963686720275879;0.99534;0.7408;1.272673886680603;0.9793
43;0.8744;0.8981002215385437;0.99526;0.7355;1.3033333433151244;0.9783
44;0.87356;0.9049621417999267;0.995200000038147;0.7522;1.28856788520813;0.9797
45;0.874859999961853;0.9014961045837402;0.99538;0.6344;1.6309720943450927;0.9681
46;0.875139999961853;0.898904215335846;0.99572;0.6841;1.4369107816696167;0.9737
47;0.8757000000190734;0.8965364218902588;0.99562;0.705;1.4440775331497193;0.9769
48;0.87852;0.8910063002204895;0.9958400000190735;0.7603;1.2593622186660767;0.9842
49;0.8761000000381469;0.9044015393066406;0.99594;0.6857;1.5187620082855224;0.9737
0;0.9321999999809265;0.725269152469635;0.9985400000190735;0.9119;0.7670088485717773;0.9979
1;0.951100000038147;0.6330761910057068;0.999040000038147;0.9173;0.7152558791160584;0.9979
2;0.9590799999809265;0.5773416875839233;0.99934;0.9177;0.6799172989845276;0.9985
3;0.964220000038147;0.5309916694641114;0.99948;0.9175;0.6621280518054962;0.9987
4;0.9699999999809266;0.48823659133911135;0.99966;0.9183;0.629536180973053;0.9987
5;0.9726200000190734;0.4527707019138336;0.9997;0.9204;0.617244730758667;0.9982
6;0.97474;0.4243344989776611;0.99986;0.9153;0.6196657735824584;0.9979
