epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.3516199999904633;1.7222918241882323;0.8753799999809265;0.4943;1.5003629371643066;0.9365
1;0.61228;1.144685595664978;0.9618599999809265;0.4614;2.121383490562439;0.8766
2;0.7037200000190735;0.9227955571746826;0.975320000038147;0.7054;0.9449071504592895;0.9762
3;0.7498799999618531;0.8142085384750366;0.98086;0.7579;0.8117010372161865;0.979
4;0.786060000038147;0.723538293914795;0.9840400000190734;0.7363;0.8847552711486817;0.9787
5;0.8086;0.6671319785308838;0.9877800000381469;0.72;0.9246576236724854;0.9764
6;0.8283;0.6162928374290466;0.98956;0.7629;0.8686415034294128;0.9733
7;0.8388399999809265;0.5902073019981384;0.990420000038147;0.7885;0.7742960161209106;0.9786
8;0.85192;0.5572716851425171;0.9917;0.8011;0.728962348651886;0.9809
9;0.8638200000190734;0.5252642344284058;0.9931000000190735;0.8049;0.7230745426177978;0.988
10;0.8711800000190735;0.511354098815918;0.9935000000190735;0.8193;0.6741799201965332;0.988
11;0.876719999961853;0.4928864137840271;0.99418;0.8122;0.6937702506065369;0.9916
12;0.885120000038147;0.47605822372436524;0.99504;0.7866;0.8092218967437744;0.9812
13;0.8912800000190735;0.4604273916816711;0.99546;0.8004;0.751220326423645;0.9875
14;0.897499999961853;0.4482326445770264;0.9954800000190734;0.8413;0.6383498603820801;0.9906
15;0.9016200000190735;0.43806238410949705;0.996420000038147;0.8416;0.6463546380996704;0.9916
16;0.9054000000190735;0.4284641822052002;0.9966200000190735;0.8469;0.6393186540603638;0.9893
17;0.9101999999809265;0.42244445413589476;0.99662;0.8563;0.6081907435417175;0.9924
18;0.9132999999618531;0.4170830840873718;0.99634;0.8323;0.6841404906272888;0.9917
19;0.91632;0.4083421242237091;0.99762;0.8387;0.6531493482589722;0.9917
20;0.91954;0.4006750237083435;0.9976;0.8488;0.6666687776565552;0.9891
21;0.923480000038147;0.39320193181991575;0.998;0.8649;0.6044898621559143;0.9917
22;0.926640000038147;0.3876935319328308;0.9979800000190735;0.8642;0.6163605140686035;0.99
23;0.9283400000190735;0.38539388120651247;0.99804;0.8252;0.7578943359375;0.9897
24;0.930479999961853;0.3790471584415436;0.99814;0.8814;0.550756194114685;0.9948
25;0.9317000000190735;0.3780609241294861;0.9983000000190735;0.8808;0.5811877577781678;0.9934
26;0.9331000000190735;0.3741924262428284;0.99832;0.8765;0.5722996942520142;0.9944
27;0.9371;0.3678339036178589;0.99832;0.841;0.6913321326255798;0.9928
28;0.9399199999809266;0.3626789546966553;0.9988400000190735;0.8678;0.616999413728714;0.9932
29;0.9390799999809265;0.3651241109275818;0.9986;0.8725;0.6225723196983337;0.9946
30;0.9427600000190735;0.3566326722717285;0.99854;0.8479;0.7197254984855652;0.9907
31;0.943559999961853;0.3579061193275452;0.9989;0.8547;0.6821275764465332;0.9927
32;0.94536;0.35393252159118654;0.99886;0.8599;0.664806235218048;0.9922
33;0.9477200000190735;0.3492234602355957;0.99898;0.8776;0.5980040511608123;0.9935
34;0.9474800000190735;0.34757685170173647;0.99886;0.8848;0.5887538276672363;0.9933
35;0.9500399999809265;0.345024681596756;0.9989;0.8755;0.6080361297607422;0.9939
36;0.9512;0.34199993824005126;0.9992000000190735;0.8648;0.6808303586006165;0.9917
37;0.9512199999809265;0.34243401195526124;0.99912;0.8795;0.5956395133972168;0.9933
38;0.952679999961853;0.33971195501327517;0.99936;0.8351;0.7790418284416198;0.9891
39;0.952799999961853;0.34005187040328977;0.9993200000190735;0.8612;0.6781708477973938;0.9914
40;0.9543800000381469;0.33821682753562926;0.99932;0.8512;0.756340382194519;0.9861
41;0.951860000038147;0.3412379936027527;0.99922;0.8392;0.8089517559051513;0.9895
42;0.9549400000381469;0.3387100193595886;0.9992;0.8677;0.6641476181030274;0.9913
43;0.9552999999809265;0.33275087866783143;0.99952;0.8666;0.7076369489669799;0.9925
44;0.9566999999809265;0.33172828693389894;0.99932;0.8489;0.7364202298164367;0.9935
45;0.9554199999809265;0.3366124677848816;0.99942;0.8648;0.7074297303199768;0.9922
46;0.958179999961853;0.33058345893859864;0.9993;0.8877;0.5929799379348755;0.9952
47;0.9597800000190735;0.32906515090942384;0.99946;0.8727;0.6537395071983337;0.9932
48;0.9582000000190735;0.3314513169193268;0.9994;0.8746;0.6504978813171387;0.9923
49;0.9621200000190735;0.3224885227870941;0.9994200000190735;0.8789;0.6373024065971374;0.9932
